id,judul,klik_tawaran,klik_kita,userId
374279862218177,TERMURAH Kurma Sukari Premium,260,2,61556251700613
1442169716401564,FREE ONGKIR Kurma,189,2,61555934231455
1014110686362410,READY RATUSAN KG,176,2,61553725191128
960217482388444, daging kambing  ,127,1,61555905874464
271314022372234, daging kambing  ,108,0,61553632484587
1084309052995634,MASIH SEGAR,99,2,61554718169689
996120681970220,Pusat Kurma,77,2,61555898682124
1076359100267998,Importir Kurma Sukari Premium,74,2,61555821115539
1384758669073200,TERJAMIN,73,1,61553916359635
1123606419084251,Pusat Kurma Sukari Premium,67,2,61555849154392
358899526984435,MURAH BANGET Toples Plastik,56,0,61556308857149
1360363754597039, daging kambing  ,56,0,61553632484587
974632300748465,Gudang Kurma Muda ruthob Premium,54,2,61556121719372
667045305404490,TERMURAH,53,2,61554860480075
3515316578778591,Gudang Kurma Tunisia Premium,49,1,61553646703889
1356004141718684,Empuk,49,2,61554793403663
802752255014722,TERBAGUS Kurma Tunisia basah,48,2,61555982118268
2713296425493016,FREE ONGKIR Kurma Sukari Premium,47,2,61555682655145
2347511255638318, daging kambing  sampil,46,0,61553970928063
1075848393459787,Suplier Kurma Sukari Premium,42,2,61555849154392
370638202234744,MASIH SEGAR,41,2,61554793403663
281898764941606,FREE ONGKIR Kurma Ajwa Premium,41,2,61556253297671
1522122868570403,BISA DIANTAR,37,2,61555771551819
1862034584216882,TERMURAH Kurma Tunisia non tangkai,35,1,61556421741981
281183234611774,READY RATUSAN KG,35,2,61554793403663
3008944409241382,READY RATUSAN KG,35,2,61553916359635
7014068228712529,HALAL,34,2,61553605736704
729795689312729,TERMURAH Toples Tabung Plastik,33,0,61556464821433
395812856369790,Gudang Kurma,33,2,61556372132675
393598003328447,MASIH SEGAR,32,2,61554729538489
1469431977276462,PUZZLE ANAK KAYU,30,0,61558576483506
938945300935573,BISA DIANTAR,30,2,61555989180738
242686385543767,SIAP SUPLAI,29,2,61554111833156
827443269142702, daging kambing  ,26,0,61556421740980
190429537427262, Daging Kambing Muda ,25,0,61553970928063
7537936762892549,Pusat Kurma Muda ruthob Premium,25,2,61556118266264
2720501441436208,Gudang Kurma Tunisia Premium,24,0,61555770550809
699340239005126,TERJAMIN,24,1,61553725191128
2464628793742241,READY RATUSAN KG,24,2,61554090293931
263055946800189,TIDAK LEBUS,23,2,61554111833156
940898090922745,Suplier Kurma Mesir Tunisia Madu,22,0,61556126065677
390194243517951, daging kambing  ,22,0,61553632484587
3734431120209253, daging kambing  ,21,0,61555835896966
2429235450597732,Suplier Kurma Mesir,21,0,61556028576418
1823327954810741,Gudang Kurma mesir,21,0,61555820115539
413602221194363,Gudang Kurma Ajwa Premium,21,1,61555675305653
1803940286756661, daging kambing Murah ,20,0,61556111673425
926061119036777,TERBAIK,20,1,61553426313935
330537749440767,Importir Kurma Ajwa Premium,20,2,61555485395017
1645361169563435,TERBAIK,20,2,61553725191128
336146062767699, daging kambing  ,19,0,61555985109846
246904321845351, daging kambing  sampil,18,0,61555946439377
791174959718988,BISA DIANTAR,18,2,61554224956940
394647296502351,Suplier Kurma Ajwa Premium,18,2,61556372132675
1463550327905915, daging kambing  BEKU,17,0,61555716703930
356762540611554,BISA DIANTAR,17,2,61556032048986
745875280270787,BISA COD,17,2,61554705207966
1467313697534966,TERBAGUS Kurma mesir,16,0,61556127362997
7391444464250373,Raja Kurma Muda Ruthob Ember,16,0,61555695314957
864404115490402, daging kambing  ,16,0,61553646703889
2084326105282837,Gudang Kurma Sukari Premium,16,2,61555842644611
343564495346316,Gudang Kurma mesir,15,0,61556207191434
1549815175795840,FREE ONGKIR Botol Toples Tabung,15,0,61556257259136
221082794363110,Toko Kurma,15,2,61556254437481
1800338950417834,READY RATUSAN KG,15,2,61554738144782
1956014301467551,MASIH SEGAR,15,2,61553916359635
6866287833475214, daging kambing Murah ,14,0,61556101685938
2104052836661250,TERBAIK Kurma Sukari Khalas Ajwa,14,0,61556239649874
3608915876032518,FREE ONGKIR Botol Toples Tabung,14,0,61556215741125
382247704521187,Gudang Kurma Sukari Premium,14,2,61556372132675
783189256500831,Pusat Kurma Tunisia madu,13,0,61556441600394
370854639130031,Importir Kurma mesir,13,0,61555485395017
368276836112281,Gudang Kurma Tunisia Kering Basah Tangkai,13,0,61556318816695
363949219862232,FREE ONGKIR Kurma mesir,13,0,61555985109846
729018419013682,GROSIR Kurma Sukari Premium,13,1,61555982118268
351506661197309,Importir Kurma Sukari Premium,13,2,61556209882262
1039889073916751,TERIMA RUTIN,13,2,61554705207966
1714086275747706,TERBAGUS Kurma,13,2,61555883135592
928523572392106, daging kambing  ,12,0,61555695314957
1445823409642678,Suplier Kurma Tunisia Kering Basah Tangkai,12,0,61555695314957
2686404058182757,Toko Kurma Muda Ruthob Ember,12,0,61555854966784
1027045635187657, daging kambing  ,12,0,61553970928063
1566000867271931, daging kambing  BEKU,12,0,61553632484587
1181037592884241, daging kambing murah ,12,0,61556428942708
1231265881021846,TERMURAH Kurma,12,1,61553646584248
387277933926832,Gudang Kurma Muda ruthob Premium,12,1,61555881965593
3743832325849427,MASIH SEGAR,12,1,61553170816315
349914154565159,TERLARIS,12,1,61554461827154
353193190863052,BISA COD,12,2,61555485395017
926351379000259,HALAL,12,2,61554111833156
362056813452528,GROSIR Kurma Muda libya Premium,12,2,61556032048986
931714055252033,Toko Kurma Mesir Tunisia Madu,11,0,61555839967572
369614602618953,Raja Kurma Mesir Tunisia Madu,11,0,61555839967572
384431070937019, daging kambing  ,11,0,61553970928063
884927933507034, daging kambing  BEKU,11,0,61553632484587
1314755645898884, daging kambing  ,11,0,61555649897138
1115671106394070,MAINAN ANAK PUZZLE,11,0,61558646351888
1506068549962662,TERBAGUS Kurma,11,1,61555982118268
677150224391428,Suplier Kurma,11,2,61556213669185
1370726693577678,Suplier Kurma,11,2,61555849154392
934097454914036,COD Kurma Sukari Premium,11,2,61556115166626
381042501276971,BISA DIANTAR,11,2,61554729538489
710572241233172,FREE ONGKIR Botol Toples Tabung,10,0,61556463081573
386433807579178,Suplier Toples Plastik Tabung,10,0,61556365912707
723359316397377,Empuk,10,2,61553385245857
742849334413332,TERMURAH,10,2,61554090293931
393266669963754,Gudang Kurma,10,2,61556145452251
1319215136138008,Pusat Kurma Ajwa Premium,10,2,61556118266264
928552898675867,Toko Kurma Mesir Tunisia Madu,9,0,61555815998885
2051202405243156, daging kambing  ,9,0,61553510910622
378788115076349,Pusat Botol Toples Plastik,9,0,61555820115539
321499643759797,Suplier Kurma,9,1,61555851913976
362883129714429,BISA COD,9,2,61553605736704
1070369837418993,BISA DIANTAR,9,2,61555881965593
934945427984751,Importir Kurma Muda rutob Premium,9,2,61556157135771
421772773687398,Toko Kurma Muda rutob Premium,9,2,61555881965593
906480154513316,Toko Kurma Muda rutob Premium,9,2,61555695314957
662759515811297, daging kambing  sampil,8,0,61554511897656
449840770712872, daging kambing  ,8,0,61556130445680
214706531712256, daging kambing murah ,8,0,61553632484587
1365688483990858, daging kambing  ,8,0,61555927143848
1913713139057467,MAINAN ANAK PUZZLE,8,0,61558690719964
392267926757479,FREE ONGKIR Kurma Muda rutob Premium,8,1,61556115166626
249611661452876,FREE ONGKIR Kurma Sukari Premium,8,1,61556142198689
264287429948236,Gudang Kurma Ajwa Premium,8,1,61555716713931
